Entity,Code,Year,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
World,OWID_WRL,1965,0,0,923.1979239,17.9852321
World,OWID_WRL,1966,0,0,983.817037,19.8060069
World,OWID_WRL,1967,0,0,1005.742652,19.98657074
World,OWID_WRL,1968,0,0,1059.289008,22.1200451
World,OWID_WRL,1969,0,0,1121.743221,23.25796438
World,OWID_WRL,1970,0,0,1174.647576,25.69319599
World,OWID_WRL,1971,0,0,1227.065005,27.87916846
World,OWID_WRL,1972,0,0,1284.630368,29.87710082
World,OWID_WRL,1973,0,0,1303.009488,32.08492382
World,OWID_WRL,1974,0,0,1431.264984,33.95881358
World,OWID_WRL,1975,0,0,1448.889652,34.48367863
World,OWID_WRL,1976,0,0,1443.134706,38.46095587
World,OWID_WRL,1977,0,0,1491.67161,40.56255723
World,OWID_WRL,1978,0,0.003,1614.387725,42.96747784
World,OWID_WRL,1979,0,0.006,1695.189194,46.16932882
World,OWID_WRL,1980,0,0.0105,1731.652451,49.38536385
World,OWID_WRL,1981,0,0.0105,1768.903725,53.15454248
World,OWID_WRL,1982,0,0.0185,1800.908921,61.37055691
World,OWID_WRL,1983,0.003,0.032794949,1877.769376,68.01793288
World,OWID_WRL,1984,0.006311111,0.044755556,1941.375556,76.0092183
World,OWID_WRL,1985,0.011747475,0.064220202,1979.774848,77.79223188
World,OWID_WRL,1986,0.015183838,0.138831313,2006.571648,85.57913315
World,OWID_WRL,1987,0.01060303,0.195376768,2033.706398,91.64285454
World,OWID_WRL,1988,0.01019596,0.331579798,2098.720984,94.28072763
World,OWID_WRL,1989,0.262223232,2.649776768,2087.570913,104.3482891
World,OWID_WRL,1990,0.388294949,3.632470516,2158.906256,117.0026734
World,OWID_WRL,1991,0.505202873,4.086706675,2209.410404,122.0189743
World,OWID_WRL,1992,0.468585109,4.733212019,2209.074255,130.9718438
World,OWID_WRL,1993,0.556697524,5.697568819,2341.244792,135.3057577
World,OWID_WRL,1994,0.600013925,7.122929844,2356.881825,140.4256751
World,OWID_WRL,1995,0.640813779,8.261923444,2485.633411,146.3616624
World,OWID_WRL,1996,0.705207972,9.204600661,2520.498994,150.5656293
World,OWID_WRL,1997,0.756584792,12.01781647,2566.13537,161.2867418
World,OWID_WRL,1998,0.831788965,15.92126027,2586.942015,168.7621089
World,OWID_WRL,1999,0.916196899,21.21617401,2605.676465,177.3933583
World,OWID_WRL,2000,1.118970397,31.42043456,2651.962539,185.9737235
World,OWID_WRL,2001,1.399285679,38.39045195,2583.888265,191.802951
World,OWID_WRL,2002,1.762091131,52.33078199,2631.847397,206.2917985
World,OWID_WRL,2003,2.256373155,62.9113953,2627.604435,217.8548881
World,OWID_WRL,2004,2.972715218,85.11619243,2820.745229,235.210346
World,OWID_WRL,2005,4.163299658,104.0838798,2916.436224,254.5110424
World,OWID_WRL,2006,5.718888865,132.859216,3027.67847,271.6271307
World,OWID_WRL,2007,7.758600806,170.6826206,3079.335975,294.651876
World,OWID_WRL,2008,12.60845712,220.6000452,3257.389347,315.3096194
World,OWID_WRL,2009,20.94134725,276.0205263,3252.498403,338.8156588
World,OWID_WRL,2010,33.67196563,346.4650219,3435.769901,381.028885
World,OWID_WRL,2011,65.17952368,440.385092,3501.090942,402.6468217
World,OWID_WRL,2012,101.1563675,530.5544214,3649.811389,436.1639502
World,OWID_WRL,2013,138.9366135,635.492051,3795.929982,471.0720411
World,OWID_WRL,2014,197.7600477,705.8058608,3894.239742,510.48156
World,OWID_WRL,2015,256.3559999,831.4296883,3885.012339,546.641182
World,OWID_WRL,2016,328.3852083,962.2273954,4018.671591,560.6810821
World,OWID_WRL,2017,446.0541642,1140.310949,4066.718275,593.7909798
World,OWID_WRL,2018,576.9512475,1269.520536,4176.687496,632.173911
World,OWID_WRL,2019,707.9184953,1418.170046,4227.88328,663.1342918
World,OWID_WRL,2020,855.7246897,1591.213512,4296.802045,700.0686508
